x	y	label	showSelected1	row_in_group	na_group
1	0	Pi: 0	1	1	0
2	3.2	Pi: 3.2	2	2	0
3	2.4	Pi: 2.4	3	3	0
4	3.2	Pi: 3.2	4	4	0
5	2.66666666666667	Pi: 2.667	5	5	0
6	3.2	Pi: 3.2	6	6	0
7	3.73333333333333	Pi: 3.733	7	7	0
8	4.26666666666667	Pi: 4.267	8	8	0
9	3.6	Pi: 3.6	9	9	0
10	4	Pi: 4	10	10	0
11	4.4	Pi: 4.4	11	11	0
12	3.84	Pi: 3.84	12	12	0
13	4.16	Pi: 4.16	13	13	0
14	4.48	Pi: 4.48	14	14	0
15	4.8	Pi: 4.8	15	15	0
17	4.53333333333333	Pi: 4.533	17	17	1
18	4.8	Pi: 4.8	18	18	1
19	4.34285714285714	Pi: 4.343	19	19	1
20	4	Pi: 4	20	20	1
21	4.2	Pi: 4.2	21	21	1
22	4.4	Pi: 4.4	22	22	1
23	4.08888888888889	Pi: 4.089	23	23	1
24	3.84	Pi: 3.84	24	24	1
25	3.63636363636364	Pi: 3.636	25	25	1
26	3.78181818181818	Pi: 3.782	26	26	1
27	3.92727272727273	Pi: 3.927	27	27	1
28	3.73333333333333	Pi: 3.733	28	28	1
29	3.86666666666667	Pi: 3.867	29	29	1
30	3.69230769230769	Pi: 3.692	30	30	1
31	3.54285714285714	Pi: 3.543	31	31	1
32	3.65714285714286	Pi: 3.657	32	32	1
33	3.77142857142857	Pi: 3.771	33	33	1
34	3.62666666666667	Pi: 3.627	34	34	1
35	3.5	Pi: 3.5	35	35	1
36	3.6	Pi: 3.6	36	36	1
37	3.48235294117647	Pi: 3.482	37	37	1
38	3.37777777777778	Pi: 3.378	38	38	1
39	3.46666666666667	Pi: 3.467	39	39	1
40	3.36842105263158	Pi: 3.368	40	40	1
41	3.28	Pi: 3.28	41	41	1
42	3.2	Pi: 3.2	42	42	1
43	3.27619047619048	Pi: 3.276	43	43	1
44	3.2	Pi: 3.2	44	44	1
45	3.27272727272727	Pi: 3.273	45	45	1
46	3.34545454545455	Pi: 3.345	46	46	1
47	3.2695652173913	Pi: 3.27	47	47	1
48	3.33913043478261	Pi: 3.339	48	48	1
49	3.40869565217391	Pi: 3.409	49	49	1
50	3.33333333333333	Pi: 3.333	50	50	1
51	3.4	Pi: 3.4	51	51	1
52	3.328	Pi: 3.328	52	52	1
53	3.26153846153846	Pi: 3.262	53	53	1
54	3.32307692307692	Pi: 3.323	54	54	1
55	3.38461538461538	Pi: 3.385	55	55	1
56	3.31851851851852	Pi: 3.319	56	56	1
57	3.25714285714286	Pi: 3.257	57	57	1
58	3.2	Pi: 3.2	58	58	1
59	3.2551724137931	Pi: 3.255	59	59	1
60	3.2	Pi: 3.2	60	60	1
61	3.14838709677419	Pi: 3.148	61	61	1
62	3.2	Pi: 3.2	62	62	1
63	3.15	Pi: 3.15	63	63	1
64	3.2	Pi: 3.2	64	64	1
65	3.15151515151515	Pi: 3.152	65	65	1
66	3.10588235294118	Pi: 3.106	66	66	1
67	3.06285714285714	Pi: 3.063	67	67	1
68	3.02222222222222	Pi: 3.022	68	68	1
69	2.98378378378378	Pi: 2.984	69	69	1
70	2.94736842105263	Pi: 2.947	70	70	1
71	2.91282051282051	Pi: 2.913	71	71	1
72	2.88	Pi: 2.88	72	72	1
73	2.92	Pi: 2.92	73	73	1
74	2.88780487804878	Pi: 2.888	74	74	1
75	2.92682926829268	Pi: 2.927	75	75	1
76	2.8952380952381	Pi: 2.895	76	76	1
77	2.86511627906977	Pi: 2.865	77	77	1
78	2.83636363636364	Pi: 2.836	78	78	1
79	2.87272727272727	Pi: 2.873	79	79	1
80	2.90909090909091	Pi: 2.909	80	80	1
81	2.94545454545455	Pi: 2.945	81	81	1
82	2.98181818181818	Pi: 2.982	82	82	1
83	2.95111111111111	Pi: 2.951	83	83	1
84	2.92173913043478	Pi: 2.922	84	84	1
85	2.95652173913043	Pi: 2.957	85	85	1
86	2.92765957446809	Pi: 2.928	86	86	1
87	2.9	Pi: 2.9	87	87	1
88	2.93333333333333	Pi: 2.933	88	88	1
89	2.96666666666667	Pi: 2.967	89	89	1
90	3	Pi: 3	90	90	1
91	3.03333333333333	Pi: 3.033	91	91	1
92	3.00408163265306	Pi: 3.004	92	92	1
93	3.03673469387755	Pi: 3.037	93	93	1
94	3.008	Pi: 3.008	94	94	1
95	3.04	Pi: 3.04	95	95	1
96	3.01176470588235	Pi: 3.012	96	96	1
97	2.98461538461539	Pi: 2.985	97	97	1
98	3.01538461538462	Pi: 3.015	98	98	1
99	3.04615384615385	Pi: 3.046	99	99	1
100	3.07692307692308	Pi: 3.077	100	100	1
